month,member_casual,rides,avg_length
Jan,casual,18117,25.684589979945173
Jan,member,78716,12.871933490861663
Feb,casual,10131,49.37322903300102
Feb,member,39490,18.02232717143581
Mar,casual,84032,38.158740916158926
Mar,member,144462,13.969999146257608
Apr,casual,136593,38.02352707190949
Apr,member,200628,14.688872440536715
