member_casual,n,mean_mins,median_mins,sd_mins,iqr_mins,p10,p90
casual,248388,30.475498950566585,17.6,57.348226506064805,24.18333333333333,5.733333333333333,64.45
member,463150,14.111579581848932,9.933333333333334,24.438482053351414,11.483333333333334,3.5833333333333335,27.933333333333334
